Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
          0.0049,             7121,            0.063,               45,              360,                0,  0.0003352983361,     -27.98767321,         6672.377,    0.02761062986,    0.02761062986, -4.387051195e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -2.403245588e-18,     -37597.65952,      37597.65952
           0.005,             7121,            0.063,               45,              360,                0,  0.0003421417329,     -27.98767321,         6672.377,     0.0281741121,     0.0281741121, -4.476582852e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -6.703844136e-18,     -37597.65952,      37597.65952
          0.0051,             7121,            0.063,               45,              360,                0,  0.0003489856566,     -27.98767321,         6672.377,    0.02873759434,    0.02873759434, -4.566114509e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -8.495861846e-18,     -37597.65952,      37597.65952
          0.0052,             7121,            0.063,               45,              360,                0,  0.0003558280283,     -27.98767321,         6672.377,    0.02930107659,    0.02930107659, -4.655646166e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -7.965835621e-18,     -37597.65952,      37597.65952
          0.0053,             7121,            0.063,               45,              360,                0,  0.0003626719505,     -27.98767321,         6672.377,    0.02986455883,    0.02986455883, -4.745177823e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -5.300302358e-18,     -37597.65952,      37597.65952
          0.0054,             7121,            0.063,               45,              360,                0,  0.0003695153646,     -27.98767321,         6672.377,    0.03042804107,    0.03042804107,  -4.83470948e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -2.023551643e-17,     -37597.65952,      37597.65952
          0.0055,             7121,            0.063,               45,                0,                0,  0.0003763573298,     -27.98767321,         6672.377,    0.03099152331,    0.03099152331, -4.924241137e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0,  2.782709911e-18,     -37597.65952,      37597.65952
          0.0056,             7121,            0.063,               45,              360,                0,  0.0003831998259,     -27.98767321,         6672.377,    0.03155500556,    0.03155500556, -5.013772794e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.092940603e-17,     -37597.65952,      37597.65952
          0.0057,             7121,            0.063,               45,              360,                0,  0.0003900437595,     -27.98767321,         6672.377,     0.0321184878,     0.0321184878, -5.103304451e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -3.604724992e-17,     -37597.65952,      37597.65952
          0.0058,             7121,            0.063,               45,              360,                0,  0.0003968853829,     -27.98767321,         6672.377,    0.03268197004,    0.03268197004, -5.192836108e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.275735867e-17,     -37597.65952,      37597.65952
          0.0059,             7121,            0.063,               45,              360,                0,  0.0004037275218,     -27.98767321,         6672.377,    0.03324545228,    0.03324545228, -5.282367765e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.124626915e-17,     -37597.65952,      37597.65952
           0.006,             7121,            0.063,               45,              360,                0,  0.0004105710382,     -27.98767321,         6672.377,    0.03380893452,    0.03380893452, -5.371899422e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -3.170051829e-17,     -37597.65952,      37597.65952
          0.0061,             7121,            0.063,               45,              360,                0,  0.0004174141181,     -27.98767321,         6672.377,    0.03437241677,    0.03437241677, -5.461431079e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.565050229e-17,     -37597.65952,      37597.65952
          0.0062,             7121,            0.063,               45,              360,                0,  0.0004242576415,     -27.98767321,         6672.377,    0.03493589901,    0.03493589901, -5.550962736e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -3.969447434e-17,     -37597.65952,      37597.65952
          0.0063,             7121,            0.063,               45,              360,                0,  0.0004310998966,     -27.98767321,         6672.377,    0.03549938125,    0.03549938125, -5.640494393e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -3.362588817e-17,     -37597.65952,      37597.65952
          0.0064,             7121,            0.063,               45,              360,              360,   0.000437941775,     -27.98767321,         6672.377,    0.03606286349,    0.03606286349,  -5.73002605e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.126973376e-17,     -37597.65952,      37597.65952
          0.0065,             7121,            0.063,               45,              360,                0,  0.0004447849329,     -27.98767321,         6672.377,    0.03662634573,    0.03662634573, -5.819557707e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.191198296e-17,     -37597.65952,      37597.65952
          0.0066,             7121,            0.063,               45,              360,              360,  0.0004516276982,     -27.98767321,         6672.377,    0.03718982798,    0.03718982798, -5.909089364e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.022802142e-17,     -37597.65952,      37597.65952
          0.0067,             7121,            0.063,               45,              360,                0,  0.0004584716783,     -27.98767321,         6672.377,    0.03775331022,    0.03775331022, -5.998621021e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.415996167e-17,     -37597.65952,      37597.65952
          0.0068,             7121,            0.063,               45,              360,                0,  0.0004653129034,     -27.98767321,         6672.377,    0.03831679246,    0.03831679246, -6.088152678e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.613876498e-17,     -37597.65952,      37597.65952
          0.0069,             7121,            0.063,               45,              360,                0,  0.0004721568966,     -27.98767321,         6672.377,     0.0388802747,     0.0388802747, -6.177684335e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.186211947e-17,     -37597.65952,      37597.65952
           0.007,             7121,            0.063,               45,              360,                0,  0.0004789997348,     -27.98767321,         6672.377,    0.03944375694,    0.03944375694, -6.267215992e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -3.600541081e-17,     -37597.65952,      37597.65952
          0.0071,             7121,            0.063,               45,              360,                0,  0.0004858422171,     -27.98767321,         6672.377,    0.04000723919,    0.04000723919, -6.356747649e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.428874237e-17,     -37597.65952,      37597.65952
          0.0072,             7121,            0.063,               45,              360,                0,  0.0004926850979,     -27.98767321,         6672.377,    0.04057072143,    0.04057072143, -6.446279306e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.370988942e-17,     -37597.65952,      37597.65952
          0.0073,             7121,            0.063,               45,              360,                0,  0.0004995290906,     -27.98767321,         6672.377,    0.04113420367,    0.04113420367, -6.535810964e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.311152954e-17,     -37597.65952,      37597.65952
          0.0074,             7121,            0.063,               45,              360,                0,   0.000506371271,     -27.98767321,         6672.377,    0.04169768591,    0.04169768591, -6.625342621e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.953521017e-17,     -37597.65952,      37597.65952
          0.0075,             7121,            0.063,               45,              360,                0,  0.0005132145523,     -27.98767321,         6672.377,    0.04226116815,    0.04226116815, -6.714874278e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.855688204e-17,     -37597.65952,      37597.65952
          0.0076,             7121,            0.063,               45,              360,                0,  0.0005200574894,     -27.98767321,         6672.377,     0.0428246504,     0.0428246504, -6.804405935e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.721809258e-17,     -37597.65952,      37597.65952
          0.0077,             7121,            0.063,               45,              360,                0,  0.0005269000957,     -27.98767321,         6672.377,    0.04338813264,    0.04338813264, -6.893937592e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0,  -4.57053787e-17,     -37597.65952,      37597.65952
          0.0078,             7121,            0.063,               45,              360,                0,  0.0005337423838,     -27.98767321,         6672.377,    0.04395161488,    0.04395161488, -6.983469249e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.869412605e-17,     -37597.65952,      37597.65952
          0.0079,             7121,            0.063,               45,              360,                0,  0.0005405857144,     -27.98767321,         6672.377,    0.04451509712,    0.04451509712, -7.073000906e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -1.590822013e-17,     -37597.65952,      37597.65952
           0.008,             7121,            0.063,               45,              360,                0,   0.000547428051,     -27.98767321,         6672.377,    0.04507857936,    0.04507857936, -7.162532563e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -5.226452162e-17,     -37597.65952,      37597.65952
          0.0081,             7121,            0.063,               45,              360,              360,  0.0005542707454,     -27.98767321,         6672.377,    0.04564206161,    0.04564206161,  -7.25206422e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -5.468284053e-17,     -37597.65952,      37597.65952
          0.0082,             7121,            0.063,               45,              360,                0,  0.0005611131352,     -27.98767321,         6672.377,    0.04620554385,    0.04620554385, -7.341595877e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.334971378e-17,     -37597.65952,      37597.65952
          0.0083,             7121,            0.063,               45,              360,                0,  0.0005679577981,     -27.98767321,         6672.377,    0.04676902609,    0.04676902609, -7.431127534e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -5.306226441e-17,     -37597.65952,      37597.65952
          0.0084,             7121,            0.063,               45,              360,                0,  0.0005748002144,     -27.98767321,         6672.377,    0.04733250833,    0.04733250833, -7.520659191e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -4.939644314e-17,     -37597.65952,      37597.65952
          0.0085,             7121,            0.063,               45,              360,                0,  0.0005816423433,     -27.98767321,         6672.377,    0.04789599057,    0.04789599057, -7.610190848e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0,  -5.16382218e-17,     -37597.65952,      37597.65952
          0.0086,             7121,            0.063,               45,              360,                0,  0.0005884854335,     -27.98767321,         6672.377,    0.04845947282,    0.04845947282, -7.699722505e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -6.391536033e-17,     -37597.65952,      37597.65952
          0.0087,             7121,            0.063,               45,              360,                0,  0.0005953282273,     -27.98767321,         6672.377,    0.04902295506,    0.04902295506, -7.789254162e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.796296686e-17,     -37597.65952,      37597.65952
