Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, ARadius_1, ARadius_2, ARadius_3, AVelocity_1, AVelocity_2, AVelocity_3, AMass, Time
   0.07590926113,     -1.029438524,  -0.003191544214,      1.021253148,    0.01978176067,  -0.000550778731,     0.9574442536,     -2.514421249,    -0.1717374884,     -1.556225419,      2.498010959,    -0.3520593913,     0.9627156222,      1.030674288,             0.83
   0.08611909544,     -1.029194063,  -0.003196556877,      1.020698412,    0.02910747686,   -0.00045170017,     0.9572566522,      -2.53606531,     -0.183330169,     -1.565088049,      2.523263395,    -0.3502845984,     0.9783220816,      1.031229912,             0.84
   0.09632292393,     -1.028856432,  -0.003200577175,      1.020052044,     0.0384157457, -0.0003523087959,     0.9570692545,     -2.557698981,    -0.1955797776,     -1.574080326,       2.54873223,    -0.3483905981,     0.9940178153,      1.031791047,             0.85
    0.1065198321,      -1.02842581,  -0.003203602074,      1.019314422,    0.04770557089, -0.0002526235176,     0.9568820629,     -2.579309942,    -0.2084910741,     -1.583202449,      2.574417299,    -0.3463707971,      1.009804121,      1.032357726,             0.86
    0.1167089095,     -1.027902386,  -0.003205628728,      1.018485933,    0.05697596404, -0.0001526629688,     0.9566950795,     -2.600885739,    -0.2220685071,     -1.592454614,      2.600318312,    -0.3442185561,      1.025682298,       1.03292998,             0.87
    0.1268892492,     -1.027286359,  -0.003206654477,       1.01756698,     0.0662259448, -5.244551055e-05,     0.9565083068,     -2.622413789,    -0.2363162098,      -1.60183702,      2.626434855,    -0.3419271927,      1.041653647,      1.033507842,             0.88
    0.1370599489,     -1.026577938,  -0.003206676842,      1.016557976,    0.07545454109,   4.80107678e-05,     0.9563217469,     -2.643881393,    -0.2512379971,     -1.611349863,      2.652766386,    -0.3394899849,      1.057719473,      1.034091345,             0.89
      0.14722011,     -1.025777342,  -0.003205693525,      1.015459347,    0.08466078925,  0.0001486880466,     0.9561354021,     -2.665275746,    -0.2668373621,     -1.620993337,      2.679312239,    -0.3369001741,       1.07388108,       1.03468052,              0.9
    0.1573688385,       -1.0248848,  -0.003203702403,       1.01427153,    0.09384373421,  0.0002495687743,     0.9559492746,     -2.686583939,    -0.2831174733,     -1.630767637,      2.706071614,    -0.3341509684,      1.090139776,      1.035275398,             0.91
    0.1675052448,     -1.023900549,  -0.003200701529,      1.012994975,     0.1030024297,  0.0003506356658,     0.9557633666,     -2.707792979,    -0.3000811724,     -1.640672956,      2.733043587,    -0.3312355459,      1.106496869,      1.035876009,             0.92
