Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, Adjoint Variables...
   -0.5764895178,     -0.845479426,    0.01725484433,     0.8033699825,    -0.6020624228,    0.01010570964,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.05
   -0.5684290675,    -0.8514605415,    0.01735509546,     0.8087063672,    -0.5941531237,   0.009944395509,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.06
    -0.560315665,    -0.8573623391,    0.01745372987,     0.8139603897,    -0.5861990024,   0.009782369555,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.07
   -0.5521501353,    -0.8631843752,    0.01755074054,     0.8191317317,    -0.5782009908,   0.009619650231,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.08
    -0.543933307,    -0.8689262157,    0.01764612062,     0.8242200873,    -0.5701600217,    0.00945625598,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.09
   -0.5356660112,    -0.8745874356,    0.01773986347,     0.8292251617,    -0.5620770283,   0.009292205235,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              1.1
   -0.5273490823,    -0.8801676193,     0.0178319626,     0.8341466723,    -0.5539529442,    0.00912751641,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.11
   -0.5189833572,    -0.8856663606,    0.01792241173,     0.8389843479,     -0.545788703,   0.008962207906,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.12
   -0.5105696756,    -0.8910832626,    0.01801120476,      0.843737929,    -0.5375852385,     0.0087962981,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.13
   -0.5021088798,    -0.8964179377,    0.01809833575,     0.8484071676,    -0.5293434842,   0.008629805346,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.14
   -0.4936018142,    -0.9016700078,    0.01818379898,     0.8529918271,    -0.5210643735,   0.008462747971,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.15
   -0.4850493259,    -0.9068391038,    0.01826758889,     0.8574916823,     -0.512748839,   0.008295144275,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.16
    -0.476452264,    -0.9119248662,    0.01834970011,     0.8619065195,     -0.504397813,   0.008127012523,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.17
   -0.4678114796,    -0.9169269449,    0.01843012744,      0.866236136,    -0.4960122268,   0.007958370947,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.18
    -0.459127826,    -0.9218449987,    0.01850886589,     0.8704803405,     -0.487593011,   0.007789237739,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.19
   -0.4504021581,    -0.9266786961,    0.01858591062,     0.8746389527,    -0.4791410949,   0.007619631052,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              1.2
   -0.4416353328,    -0.9314277147,    0.01866125699,     0.8787118035,    -0.4706574068,   0.007449568998,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.21
   -0.4328282084,    -0.9360917414,    0.01873490054,     0.8826987345,    -0.4621428735,    0.00727906964,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.22
    -0.423981645,    -0.9406704724,    0.01880683698,     0.8865995983,    -0.4535984204,   0.007108150994,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.23
   -0.4150965038,    -0.9451636131,    0.01887706222,     0.8904142585,    -0.4450249713,   0.006936831028,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.24
   -0.4061736476,    -0.9495708782,    0.01894557233,     0.8941425891,    -0.4364234482,   0.006765127654,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.25
   -0.3972139402,    -0.9538919916,    0.01901236356,     0.8977844749,    -0.4277947712,    0.00659305873,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.26
   -0.3882182466,    -0.9581266862,    0.01907743234,     0.9013398112,    -0.4191398585,   0.006420642057,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.27
   -0.3791874328,    -0.9622747044,     0.0191407753,     0.9048085039,     -0.410459626,   0.006247895374,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.28
   -0.3701223656,    -0.9663357974,    0.01920238921,     0.9081904691,    -0.4017549873,   0.006074836361,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.29
   -0.3610239127,    -0.9703097258,    0.01926227104,     0.9114856332,     -0.393026854,   0.005901482631,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,              1.3
   -0.3518929425,    -0.9741962592,    0.01932041794,     0.9146939329,    -0.3842761346,   0.005727851731,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.31
   -0.3427303238,    -0.9779951762,    0.01937682721,     0.9178153148,    -0.3755037355,   0.005553961141,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.32
   -0.3335369261,    -0.9817062646,    0.01943149635,     0.9208497358,      -0.36671056,    0.00537982827,       0.97299934,              nan,              nan,              nan,             -nan,             -nan,             -nan,             -nan,             1.33
